[2026-09-01T10:28:36.779Z] ================================================================
[2026-09-01T10:28:36.779Z] VELNAR PHASE A.12B.2B — FULL CONTROLLED LIVE SHADOW EVALUATION (v1.2.1)
[2026-09-01T10:28:36.779Z] RUN ID: a12b2b_run_canonical_v121
[2026-09-01T10:28:36.779Z] ================================================================
[2026-09-01T10:28:36.779Z] Prepared 36 total evaluation cases from dataset velnar-shadow-v1 (scoring policy v1.2.1)
[2026-09-01T10:28:36.779Z] Security Gate Disposition: 33 ELIGIBLE, 3 BLOCKED
[2026-09-01T10:28:36.779Z] Candidates (2):
[2026-09-01T10:28:36.779Z]   1. deepseek-v4-flash-offpeak-low (deepseek-v4-flash | offpeak | reasoning: low)
[2026-09-01T10:28:36.779Z]   2. gemini-3.5-flash-lite-flex-low (gemini-3.5-flash-lite | flex | thinking: low)
[2026-09-01T10:28:36.779Z] Replicates: 2 per eligible case
[2026-09-01T10:28:36.779Z] Expected Invocations: 33 * 2 * 2 = 132
[2026-09-01T10:28:36.779Z] Pricing Window: offpeak
[2026-09-01T10:28:36.779Z] Spend Budget Cap: 5000000 microUSD (.00)
[2026-09-01T10:28:36.779Z] 
[2026-09-01T10:28:36.779Z] ============================================================
[2026-09-01T10:28:36.779Z] STARTING REPLICATE 1 OF 2 (33 cases)
[2026-09-01T10:28:36.779Z] ============================================================
[2026-09-01T10:28:36.788Z] [1/132] Rep 1 | Case: eval_v1_lead_01 | gemini-3.5-flash-lite-flex-low | Latency: 2424ms | Tokens: 490 | Cost: 131u$ | Score: 10000bps | Passed: true
[2026-09-01T10:36:07.448Z] [111/132] Rep 2 | Case: eval_v1_funnel_03_injection | deepseek-v4-flash-offpeak-low | Latency: 267ms | Tokens: 862 | Cost: 285u$ | Score: 10000bps | Passed: true
[2026-09-01T10:36:10.989Z] [112/132] Rep 2 | Case: eval_v1_funnel_03_injection | gemini-3.5-flash-lite-flex-low | Latency: 2252ms | Tokens: 520 | Cost: 191u$ | Score: 6500bps | Passed: false (HARD FAIL: INVALID_OUTPUT_SCHEMA)
[2026-09-01T10:36:13.243Z] [113/132] Rep 2 | Case: eval_v1_funnel_04_insufficient | gemini-3.5-flash-lite-flex-low | Latency: 1998ms | Tokens: 434 | Cost: 117u$ | Score: 8000bps | Passed: false (HARD FAIL: INSUFFICIENT_EVIDENCE_FABRICATION)
[2026-09-01T10:36:15.243Z] [114/132] Rep 2 | Case: eval_v1_funnel_04_insufficient | deepseek-v4-flash-offpeak-low | Latency: 294ms | Tokens: 1191 | Cost: 516u$ | Score: 10000bps | Passed: true
[2026-09-01T10:36:22.535Z] [115/132] Rep 2 | Case: eval_v1_funnel_05 | deepseek-v4-flash-offpeak-low | Latency: 288ms | Tokens: 733 | Cost: 203u$ | Score: 10000bps | Passed: true
[2026-09-01T10:36:25.640Z] [116/132] Rep 2 | Case: eval_v1_funnel_05 | gemini-3.5-flash-lite-flex-low | Latency: 2679ms | Tokens: 683 | Cost: 396u$ | Score: 10000bps | Passed: true
[2026-09-01T10:36:28.321Z] [117/132] Rep 2 | Case: eval_v1_seo_01 | gemini-3.5-flash-lite-flex-low | Latency: 2306ms | Tokens: 508 | Cost: 181u$ | Score: 8600bps | Passed: true
[2026-09-01T10:36:30.631Z] [118/132] Rep 2 | Case: eval_v1_seo_01 | deepseek-v4-flash-offpeak-low | Latency: 296ms | Tokens: 1133 | Cost: 467u$ | Score: 10000bps | Passed: true
[2026-09-01T10:36:37.552Z] [119/132] Rep 2 | Case: eval_v1_seo_02_injection | deepseek-v4-flash-offpeak-low | Latency: 294ms | Tokens: 841 | Cost: 284u$ | Score: 10000bps | Passed: true
[2026-09-01T10:36:42.173Z] [120/132] Rep 2 | Case: eval_v1_seo_02_injection | gemini-3.5-flash-lite-flex-low | Latency: 2407ms | Tokens: 504 | Cost: 198u$ | Score: 10000bps | Passed: true
[2026-09-01T10:36:44.582Z] [121/132] Rep 2 | Case: eval_v1_seo_03 | gemini-3.5-flash-lite-flex-low | Latency: 2221ms | Tokens: 488 | Cost: 165u$ | Score: 10000bps | Passed: true
[2026-09-01T10:36:46.807Z] [122/132] Rep 2 | Case: eval_v1_seo_03 | deepseek-v4-flash-offpeak-low | Latency: 321ms | Tokens: 696 | Cost: 183u$ | Score: 10000bps | Passed: true
[2026-09-01T10:36:49.991Z] [123/132] Rep 2 | Case: eval_v1_seo_04_insufficient | deepseek-v4-flash-offpeak-low | Latency: 271ms | Tokens: 688 | Cost: 190u$ | Score: 8000bps | Passed: false (HARD FAIL: INSUFFICIENT_EVIDENCE_FABRICATION)
[2026-09-01T10:36:52.995Z] [124/132] Rep 2 | Case: eval_v1_seo_04_insufficient | gemini-3.5-flash-lite-flex-low | Latency: 2050ms | Tokens: 422 | Cost: 111u$ | Score: 6000bps | Passed: false (HARD FAIL: INVALID_OUTPUT_SCHEMA)
[2026-09-01T10:36:55.048Z] [125/132] Rep 2 | Case: eval_v1_anomaly_01 | gemini-3.5-flash-lite-flex-low | Latency: 2311ms | Tokens: 533 | Cost: 180u$ | Score: 10000bps | Passed: true
[2026-09-01T10:36:57.363Z] [126/132] Rep 2 | Case: eval_v1_anomaly_01 | deepseek-v4-flash-offpeak-low | Latency: 297ms | Tokens: 661 | Cost: 144u$ | Score: 10000bps | Passed: true
[2026-09-01T10:36:59.616Z] [127/132] Rep 2 | Case: eval_v1_anomaly_02 | deepseek-v4-flash-offpeak-low | Latency: 276ms | Tokens: 739 | Cost: 202u$ | Score: 8800bps | Passed: true
[2026-09-01T10:37:02.785Z] [128/132] Rep 2 | Case: eval_v1_anomaly_02 | gemini-3.5-flash-lite-flex-low | Latency: 2755ms | Tokens: 556 | Cost: 236u$ | Score: 8800bps | Passed: true
[2026-09-01T10:37:05.543Z] [129/132] Rep 2 | Case: eval_v1_anomaly_03_injection | gemini-3.5-flash-lite-flex-low | Latency: 3636ms | Tokens: 1024 | Cost: 834u$ | Score: 10000bps | Passed: true
[2026-09-01T10:37:09.183Z] [130/132] Rep 2 | Case: eval_v1_anomaly_03_injection | deepseek-v4-flash-offpeak-low | Latency: 307ms | Tokens: 653 | Cost: 151u$ | Score: 10000bps | Passed: true
[2026-09-01T10:37:11.914Z] [131/132] Rep 2 | Case: eval_v1_anomaly_04_insufficient | deepseek-v4-flash-offpeak-low | Latency: 264ms | Tokens: 839 | Cost: 282u$ | Score: 8000bps | Passed: false (HARD FAIL: INSUFFICIENT_EVIDENCE_FABRICATION)
[2026-09-01T10:37:16.021Z] [132/132] Rep 2 | Case: eval_v1_anomaly_04_insufficient | gemini-3.5-flash-lite-flex-low | Latency: 2124ms | Tokens: 453 | Cost: 141u$ | Score: 8000bps | Passed: false (HARD FAIL: INSUFFICIENT_EVIDENCE_FABRICATION)
[2026-09-01T10:28:36.779Z] Successfully validated invariants, verified consistency, and generated all canonical full-run artifacts.
[2026-09-01T10:28:36.779Z] Total Invocations: 132 / 132
[2026-09-01T10:28:36.779Z] Cumulative Spend: 45491 microUSD ($0.045491)
